"id";"ts";"v_ms";"h_m";"A_m3";"Q_m3s"
268;"2021-08-16 14:09:45.5";4,18209;0,96;5,37719;22,48789
269;"2021-08-16 14:09:46";4,18891;0,954;5,32738;22,31592
270;"2021-08-16 14:09:46.5";4,17807;0,929;5,12144;21,39773
271;"2021-08-16 14:09:47";4,14913;0,936;5,17885;21,48768
272;"2021-08-16 14:09:47.5";4,07405;0,926;5,09691;20,76504
273;"2021-08-16 14:09:48";3,99587;0,923;5,07241;20,26868
274;"2021-08-16 14:09:48.5";3,91582;0,924;5,08057;19,89457
275;"2021-08-16 14:09:49";3,89541;0,924;5,08057;19,7909
276;"2021-08-16 14:09:49.5";3,94949;0,921;5,05609;19,96897
277;"2021-08-16 14:09:50";4,02749;0,917;5,02352;20,23219
278;"2021-08-16 14:09:50.5";4,07204;0,914;4,99913;20,35667
279;"2021-08-16 14:09:51";4,05026;0,899;4,87777;19,75624
280;"2021-08-16 14:09:51.5";4,01769;0,9;4,88583;19,62975
281;"2021-08-16 14:09:52";4,0104;0,908;4,95047;19,85339
282;"2021-08-16 14:09:52.5";4,01232;0,905;4,9262;19,76551
283;"2021-08-16 14:09:53";4,02643;0,922;5,06425;20,39082
284;"2021-08-16 14:09:53.5";4,08288;0,923;5,07241;20,71005
285;"2021-08-16 14:09:54";4,12823;0,931;5,13782;21,21014
286;"2021-08-16 14:09:54.5";4,08694;0,924;5,08057;20,76398
287;"2021-08-16 14:09:55";3,986;0,927;5,10508;20,34888
288;"2021-08-16 14:09:55.5";3,89805;0,943;5,23645;20,41195
289;"2021-08-16 14:09:56";3,89062;0,947;5,26946;20,50147
290;"2021-08-16 14:09:56.5";3,90724;0,94;5,21174;20,36349
291;"2021-08-16 14:09:57";3,9179;0,919;5,0398;19,7454
292;"2021-08-16 14:09:57.5";3,92203;0,91;4,96668;19,47946
293;"2021-08-16 14:09:58";3,89664;0,907;4,94238;19,25869
294;"2021-08-16 14:09:58.5";3,78038;0,885;4,76536;18,01489
295;"2021-08-16 14:09:59";3,67514;0,903;4,91004;18,04506
296;"2021-08-16 14:09:59.5";3,7045;0,902;4,90197;18,15934
297;"2021-08-16 14:10:00";3,8278;0,893;4,82949;18,48634
298;"2021-08-16 14:10:00.5";3,86021;0,901;4,8939;18,89145
299;"2021-08-16 14:10:01";3,77123;0,896;4,85361;18,30406
300;"2021-08-16 14:10:01.5";3,72002;0,899;4,87777;18,14542
301;"2021-08-16 14:10:02";3,76156;0,91;4,96668;18,68247
302;"2021-08-16 14:10:02.5";3,79578;0,906;4,93429;18,72949
303;"2021-08-16 14:10:03";3,77758;0,918;5,03166;19,00751
304;"2021-08-16 14:10:03.5";3,74135;0,92;5,04794;18,88611
305;"2021-08-16 14:10:04";3,70899;0,921;5,05609;18,75299
306;"2021-08-16 14:10:04.5";3,6348;0,917;5,02352;18,25947
307;"2021-08-16 14:10:05";3,56123;0,919;5,0398;17,9479
308;"2021-08-16 14:10:05.5";3,505;0,917;5,02352;17,60743
309;"2021-08-16 14:10:06";3,51243;0,931;5,13782;18,04624
310;"2021-08-16 14:10:06.5";3,58816;0,914;4,99913;17,93767
311;"2021-08-16 14:10:07";3,66647;0,908;4,95047;18,15079
312;"2021-08-16 14:10:07.5";3,70591;0,908;4,95047;18,34601
313;"2021-08-16 14:10:08";3,69364;0,919;5,0398;18,6152
314;"2021-08-16 14:10:08.5";3,71275;0,921;5,05609;18,77201
315;"2021-08-16 14:10:09";3,76779;0,919;5,0398;18,98891
316;"2021-08-16 14:10:09.5";3,83471;0,917;5,02352;19,26376
317;"2021-08-16 14:10:10";3,86449;0,917;5,02352;19,41335
318;"2021-08-16 14:10:10.5";3,87409;0,919;5,0398;19,52465
319;"2021-08-16 14:10:11";3,86756;0,911;4,97478;19,24029
320;"2021-08-16 14:10:11.5";3,85976;0,895;4,84557;18,70272
321;"2021-08-16 14:10:12";3,84885;0,894;4,83753;18,61892
322;"2021-08-16 14:10:12.5";3,7992;0,896;4,85361;18,43985
323;"2021-08-16 14:10:13";3,73403;0,885;4,76536;17,79403
324;"2021-08-16 14:10:13.5";3,65102;0,871;4,6538;16,99111
325;"2021-08-16 14:10:14";3,5993;0,894;4,83753;17,41172
326;"2021-08-16 14:10:14.5";3,55346;0,882;4,74138;16,84832
327;"2021-08-16 14:10:15";3,52319;0,878;4,70947;16,59238
328;"2021-08-16 14:10:15.5";3,4679;0,879;4,71745;16,35965
329;"2021-08-16 14:10:16";3,44604;0,869;4,63793;15,98248
330;"2021-08-16 14:10:16.5";3,55168;0,858;4,55096;16,16354
331;"2021-08-16 14:10:17";3,70812;0,851;4,4959;16,67132
332;"2021-08-16 14:10:17.5";3,82525;0,851;4,4959;17,19794
333;"2021-08-16 14:10:18";3,82005;0,868;4,63;17,68681
334;"2021-08-16 14:10:18.5";3,76677;0,886;4,77336;17,98019
335;"2021-08-16 14:10:19";3,71415;0,881;4,7334;17,58057
336;"2021-08-16 14:10:19.5";3,62767;0,897;4,86166;17,63652
337;"2021-08-16 14:10:20";3,557;0,898;4,86971;17,32159
338;"2021-08-16 14:10:20.5";3,50162;0,9;4,88583;17,10834
339;"2021-08-16 14:10:21";3,48814;0,904;4,91812;17,15507
340;"2021-08-16 14:10:21.5";3,48346;0,902;4,90197;17,07579
341;"2021-08-16 14:10:22";3,49321;0,888;4,78938;16,73031
342;"2021-08-16 14:10:22.5";3,55256;0,88;4,72542;16,78732
343;"2021-08-16 14:10:23";3,61183;0,879;4,71745;17,03861
344;"2021-08-16 14:10:23.5";3,61889;0,878;4,70947;17,04308
345;"2021-08-16 14:10:24";3,5839;0,874;4,67763;16,76415
346;"2021-08-16 14:10:24.5";3,59443;0,868;4,63;16,64223
347;"2021-08-16 14:10:25";3,66796;0,849;4,4802;16,43321
348;"2021-08-16 14:10:25.5";3,80188;0,844;4,44105;16,88432
349;"2021-08-16 14:10:26";3,88607;0,833;4,35529;16,92497
350;"2021-08-16 14:10:26.5";3,87696;0,835;4,37084;16,94559
351;"2021-08-16 14:10:27";3,79045;0,823;4,27779;16,21478
352;"2021-08-16 14:10:27.5";3,68526;0,838;4,3942;16,19378
353;"2021-08-16 14:10:28";3,63538;0,845;4,44887;16,17332
354;"2021-08-16 14:10:28.5";3,59413;0,855;4,52734;16,27186
355;"2021-08-16 14:10:29";3,58311;0,865;4,60624;16,50469
356;"2021-08-16 14:10:29.5";3,62122;0,853;4,51161;16,33754
357;"2021-08-16 14:10:30";3,66348;0,831;4,33975;15,89862
358;"2021-08-16 14:10:30.5";3,64436;0,884;4,75737;17,33756
359;"2021-08-16 14:10:31";3,58793;0,891;4,81343;17,27026
360;"2021-08-16 14:10:31.5";3,57569;0,85;4,48805;16,04785
361;"2021-08-16 14:10:32";3,62494;0,837;4,38641;15,90047
362;"2021-08-16 14:10:32.5";3,69692;0,834;4,36306;16,12989
363;"2021-08-16 14:10:33";3,7436;0,841;4,4176;16,53772
364;"2021-08-16 14:10:33.5";3,8019;0,836;4,37862;16,64711
365;"2021-08-16 14:10:34";3,8185;0,851;4,4959;17,16757
366;"2021-08-16 14:10:34.5";3,72719;0,886;4,77336;17,79124
367;"2021-08-16 14:10:35";3,59724;0,892;4,82146;17,34395
368;"2021-08-16 14:10:35.5";3,49219;0,878;4,70947;16,44639
369;"2021-08-16 14:10:36";3,48233;0,878;4,70947;16,39994
370;"2021-08-16 14:10:36.5";3,51196;0,887;4,78137;16,79197
371;"2021-08-16 14:10:37";3,54854;0,858;4,55096;16,14929
372;"2021-08-16 14:10:37.5";3,60552;0,867;4,62208;16,665
373;"2021-08-16 14:10:38";3,64171;0,871;4,6538;16,9478
374;"2021-08-16 14:10:38.5";3,64122;0,872;4,66174;16,97441
375;"2021-08-16 14:10:39";3,59825;0,874;4,67763;16,83127
376;"2021-08-16 14:10:39.5";3,50558;0,849;4,4802;15,70572
377;"2021-08-16 14:10:40";3,42978;0,882;4,74138;16,26191
378;"2021-08-16 14:10:40.5";3,38089;0,889;4,79739;16,21947
379;"2021-08-16 14:10:41";3,39753;0,888;4,78938;16,27205
380;"2021-08-16 14:10:41.5";3,48744;0,868;4,63;16,14687
381;"2021-08-16 14:10:42";3,58024;0,879;4,71745;16,88957
382;"2021-08-16 14:10:42.5";3,65258;0,864;4,59833;16,79577
383;"2021-08-16 14:10:43";3,65978;0,842;4,42541;16,19603
